probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,075,cl-01,clothing,000,7,114,0.7770848870277405
1,075,cl-01,clothing,090,6,094,0.8836629986763
2,075,cl-01,clothing,180,10,114,0.8886438608169556
3,075,cl-02,clothing,000,8,114,0.864503800868988
4,075,cl-02,clothing,090,1,075,0.8834874033927917
5,075,cl-02,clothing,180,7,114,0.8662366271018982
9,075,nm-02,normal,000,1,075,0.9705582857131958
10,075,nm-02,normal,090,1,075,0.6783248782157898
11,075,nm-02,normal,180,1,075,0.9522772431373596
12,075,nm-03,normal,000,1,075,0.9515038728713989
13,075,nm-03,normal,090,3,099,0.8736472725868225
14,075,nm-03,normal,180,1,075,0.9443623423576355
15,075,nm-04,normal,000,1,075,0.9460602402687073
16,075,nm-04,normal,090,2,099,0.9003680348396301
17,075,nm-04,normal,180,1,075,0.9491161704063416
18,075,nm-05,normal,000,4,120,0.8855937123298645
19,075,nm-05,normal,090,1,075,0.8441641926765442
20,075,nm-05,normal,180,2,086,0.9375717639923096
21,075,nm-06,normal,000,3,081,0.8674179911613464
22,075,nm-06,normal,090,3,099,0.8809643983840942
23,075,nm-06,normal,180,1,075,0.9145339131355286
24,076,cl-01,clothing,000,1,076,0.8883481621742249
25,076,cl-01,clothing,090,1,076,0.9271021485328674
26,076,cl-01,clothing,180,1,076,0.9126652479171753
27,076,cl-02,clothing,000,2,080,0.8538211584091187
28,076,cl-02,clothing,090,1,076,0.9425017237663269
29,076,cl-02,clothing,180,1,076,0.8979471325874329
33,076,nm-02,normal,000,1,076,0.9777963161468506
34,076,nm-02,normal,090,1,076,0.9423352479934692
35,076,nm-02,normal,180,1,076,0.9748059511184692
36,076,nm-03,normal,000,1,076,0.9367482662200928
37,076,nm-03,normal,090,1,076,0.9882628321647644
38,076,nm-03,normal,180,1,076,0.9440706372261047
39,076,nm-04,normal,000,3,080,0.9427286982536316
40,076,nm-04,normal,090,1,076,0.9863729476928711
41,076,nm-04,normal,180,2,117,0.9417616128921509
42,076,nm-05,normal,000,1,076,0.9477636218070984
43,076,nm-05,normal,090,1,076,0.9801064729690552
44,076,nm-05,normal,180,1,076,0.9663290977478027
45,076,nm-06,normal,000,1,076,0.9733049869537354
46,076,nm-06,normal,090,1,076,0.961826503276825
47,076,nm-06,normal,180,1,076,0.9322939515113831
48,077,cl-01,clothing,000,1,077,0.7969838380813599
49,077,cl-01,clothing,090,1,077,0.8315525650978088
50,077,cl-01,clothing,180,1,077,0.8595180511474609
51,077,cl-02,clothing,000,6,115,0.8302396535873413
52,077,cl-02,clothing,090,2,119,0.9275505542755127
53,077,cl-02,clothing,180,5,079,0.7485371828079224
57,077,nm-02,normal,000,1,077,0.9776624441146851
58,077,nm-02,normal,090,2,115,0.8361514210700989
59,077,nm-02,normal,180,2,105,0.8685426115989685
60,077,nm-03,normal,000,1,077,0.9860578775405884
61,077,nm-03,normal,090,1,077,0.8579518795013428
62,077,nm-03,normal,180,1,077,0.9388864636421204
63,077,nm-04,normal,000,2,105,0.8274942636489868
64,077,nm-04,normal,090,4,119,0.8894901275634766
65,077,nm-04,normal,180,1,077,0.8871500492095947
66,077,nm-05,normal,000,1,077,0.9037911295890808
67,077,nm-05,normal,090,2,106,0.893412172794342
68,077,nm-05,normal,180,2,106,0.8874253630638123
69,077,nm-06,normal,000,3,092,0.9441908001899719
70,077,nm-06,normal,090,1,077,0.9349377155303955
71,077,nm-06,normal,180,1,077,0.9420934319496155
72,078,cl-01,clothing,000,26,076,0.6159088611602783
73,078,cl-01,clothing,090,36,079,0.7585983872413635
74,078,cl-01,clothing,180,38,112,0.7891027927398682
75,078,cl-02,clothing,000,28,084,0.5883889198303223
76,078,cl-02,clothing,090,28,079,0.7860967516899109
77,078,cl-02,clothing,180,32,079,0.6615212559700012
81,078,nm-02,normal,000,2,087,0.963006854057312
82,078,nm-02,normal,090,2,122,0.884719729423523
83,078,nm-02,normal,180,6,111,0.9479930996894836
84,078,nm-03,normal,000,1,078,0.9329928159713745
85,078,nm-03,normal,090,1,078,0.963884711265564
86,078,nm-03,normal,180,3,111,0.8986020088195801
87,078,nm-04,normal,000,1,078,0.9373785257339478
88,078,nm-04,normal,090,1,078,0.9367324113845825
89,078,nm-04,normal,180,2,111,0.9280277490615845
90,078,nm-05,normal,000,8,116,0.96661776304245
91,078,nm-05,normal,090,1,078,0.9362913966178894
92,078,nm-05,normal,180,1,078,0.9458721280097961
93,078,nm-06,normal,000,1,078,0.9364253878593445
94,078,nm-06,normal,090,6,091,0.7951423525810242
95,078,nm-06,normal,180,4,111,0.9431029558181763
96,079,cl-01,clothing,000,2,085,0.8625942468643188
97,079,cl-01,clothing,090,10,122,0.9341710805892944
98,079,cl-01,clothing,180,5,095,0.9197502136230469
99,079,cl-02,clothing,000,1,079,0.84516841173172
100,079,cl-02,clothing,090,10,122,0.9516547918319702
101,079,cl-02,clothing,180,2,085,0.8327153921127319
105,079,nm-02,normal,000,2,090,0.8444111943244934
106,079,nm-02,normal,090,1,079,0.8820236325263977
107,079,nm-02,normal,180,1,079,0.883055567741394
108,079,nm-03,normal,000,1,079,0.869924783706665
109,079,nm-03,normal,090,3,118,0.8516054153442383
110,079,nm-03,normal,180,1,079,0.9405453205108643
111,079,nm-04,normal,000,1,079,0.8527374863624573
112,079,nm-04,normal,090,1,079,0.8840896487236023
113,079,nm-04,normal,180,1,079,0.9744445085525513
114,079,nm-05,normal,000,1,079,0.9194727540016174
115,079,nm-05,normal,090,1,079,0.8634335398674011
116,079,nm-05,normal,180,1,079,0.9641414284706116
117,079,nm-06,normal,000,1,079,0.8914906978607178
118,079,nm-06,normal,090,4,118,0.9157766699790955
119,079,nm-06,normal,180,2,119,0.8950291872024536
120,080,cl-01,clothing,000,1,080,0.9238977432250977
121,080,cl-01,clothing,090,3,105,0.9692960977554321
122,080,cl-01,clothing,180,2,090,0.8631992340087891
123,080,cl-02,clothing,000,1,080,0.8714484572410583
124,080,cl-02,clothing,090,1,080,0.8949188590049744
125,080,cl-02,clothing,180,3,090,0.910070538520813
129,080,nm-02,normal,000,1,080,0.9695020914077759
130,080,nm-02,normal,090,1,080,0.9340576529502869
131,080,nm-02,normal,180,2,090,0.9119670987129211
132,080,nm-03,normal,000,1,080,0.9371638298034668
133,080,nm-03,normal,090,1,080,0.8935484290122986
134,080,nm-03,normal,180,1,080,0.9525279998779297
135,080,nm-04,normal,000,4,090,0.8746862411499023
136,080,nm-04,normal,090,2,103,0.8696721792221069
137,080,nm-04,normal,180,4,090,0.9286548495292664
138,080,nm-05,normal,000,3,090,0.8854907751083374
139,080,nm-05,normal,090,1,080,0.8771569132804871
140,080,nm-05,normal,180,7,082,0.9256694912910461
141,080,nm-06,normal,000,2,090,0.9340521693229675
142,080,nm-06,normal,090,5,103,0.9131768941879272
143,080,nm-06,normal,180,2,090,0.93182373046875
144,081,cl-01,clothing,000,1,081,0.8830552101135254
145,081,cl-01,clothing,090,3,075,0.951439380645752
146,081,cl-01,clothing,180,2,114,0.8161109685897827
147,081,cl-02,clothing,000,1,081,0.9277452826499939
148,081,cl-02,clothing,090,3,075,0.9356403946876526
149,081,cl-02,clothing,180,3,114,0.7986884117126465
153,081,nm-02,normal,000,1,081,0.9623464345932007
154,081,nm-02,normal,090,1,081,0.8753933310508728
155,081,nm-02,normal,180,1,081,0.9809663891792297
156,081,nm-03,normal,000,1,081,0.9149554371833801
157,081,nm-03,normal,090,1,081,0.936062753200531
158,081,nm-03,normal,180,1,081,0.9586434960365295
159,081,nm-04,normal,000,1,081,0.8937663435935974
160,081,nm-04,normal,090,3,086,0.9052308797836304
161,081,nm-04,normal,180,1,081,0.957306444644928
162,081,nm-05,normal,000,1,081,0.9436017870903015
163,081,nm-05,normal,090,4,075,0.8982239961624146
164,081,nm-05,normal,180,1,081,0.9713852405548096
165,081,nm-06,normal,000,1,081,0.8226644992828369
166,081,nm-06,normal,090,1,081,0.8908887505531311
167,081,nm-06,normal,180,1,081,0.9166707992553711
168,082,cl-01,clothing,000,1,082,0.5898511409759521
169,082,cl-01,clothing,090,13,106,0.7786992192268372
170,082,cl-01,clothing,180,6,109,0.7167282104492188
171,082,cl-02,clothing,000,18,101,0.8786957859992981
172,082,cl-02,clothing,090,14,109,0.7768349051475525
173,082,cl-02,clothing,180,13,101,0.8795458674430847
177,082,nm-02,normal,000,1,082,0.9603236317634583
178,082,nm-02,normal,090,2,121,0.8162297010421753
179,082,nm-02,normal,180,1,082,0.8725705742835999
180,082,nm-03,normal,000,1,082,0.9103506207466125
181,082,nm-03,normal,090,1,082,0.6769421100616455
182,082,nm-03,normal,180,1,082,0.9019432067871094
183,082,nm-04,normal,000,1,082,0.9581820368766785
184,082,nm-04,normal,090,1,082,0.9131580591201782
185,082,nm-04,normal,180,2,121,0.8954556584358215
186,082,nm-05,normal,000,1,082,0.9100333452224731
187,082,nm-05,normal,090,1,082,0.9312556982040405
188,082,nm-05,normal,180,3,102,0.8791205286979675
189,082,nm-06,normal,000,2,121,0.9226686954498291
190,082,nm-06,normal,090,1,082,0.9076488614082336
191,082,nm-06,normal,180,1,082,0.9439893960952759
192,083,cl-01,clothing,000,1,083,0.9422163963317871
193,083,cl-01,clothing,090,1,083,0.9348202347755432
194,083,cl-01,clothing,180,3,108,0.9528391361236572
195,083,cl-02,clothing,000,1,083,0.8549838662147522
196,083,cl-02,clothing,090,1,083,0.9139463305473328
197,083,cl-02,clothing,180,1,083,0.9162125587463379
201,083,nm-02,normal,000,1,083,0.951724112033844
202,083,nm-02,normal,090,1,083,0.8429163694381714
203,083,nm-02,normal,180,1,083,0.9853964447975159
204,083,nm-03,normal,000,1,083,0.9347234964370728
205,083,nm-03,normal,090,1,083,0.920089066028595
206,083,nm-03,normal,180,1,083,0.977104663848877
207,083,nm-04,normal,000,1,083,0.9685142040252686
208,083,nm-04,normal,090,1,083,0.942726731300354
209,083,nm-04,normal,180,1,083,0.9808931946754456
210,083,nm-05,normal,000,1,083,0.969754159450531
211,083,nm-05,normal,090,1,083,0.9265925288200378
212,083,nm-05,normal,180,1,083,0.9835721254348755
213,083,nm-06,normal,000,1,083,0.983827531337738
214,083,nm-06,normal,090,1,083,0.92496258020401
215,083,nm-06,normal,180,1,083,0.9768468737602234
216,084,cl-01,clothing,000,1,084,0.7669354677200317
217,084,cl-01,clothing,090,1,084,0.9428728818893433
218,084,cl-01,clothing,180,1,084,0.7632229328155518
219,084,cl-02,clothing,000,1,084,0.8520863652229309
220,084,cl-02,clothing,090,1,084,0.9111608862876892
