probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,075,cl-01,clothing,000,17,108,0.8247764110565186
1,075,cl-01,clothing,090,1,075,0.8868579268455505
2,075,cl-01,clothing,180,2,105,0.9172724485397339
3,075,cl-02,clothing,000,7,119,0.8582003712654114
4,075,cl-02,clothing,090,2,116,0.7376132607460022
5,075,cl-02,clothing,180,2,105,0.9209068417549133
9,075,nm-02,normal,000,1,075,0.8916366696357727
10,075,nm-02,normal,090,1,075,0.9141449928283691
11,075,nm-02,normal,180,2,081,0.8757467269897461
12,075,nm-03,normal,000,1,075,0.9336284399032593
13,075,nm-03,normal,090,2,116,0.896751344203949
14,075,nm-03,normal,180,1,075,0.9352155923843384
15,075,nm-04,normal,000,1,075,0.8797632455825806
16,075,nm-04,normal,090,1,075,0.9250818490982056
17,075,nm-04,normal,180,4,081,0.9566256999969482
18,075,nm-05,normal,000,1,075,0.9243487119674683
19,075,nm-05,normal,090,1,075,0.9499511122703552
20,075,nm-05,normal,180,5,098,0.9237637519836426
21,075,nm-06,normal,000,1,075,0.9026384949684143
22,075,nm-06,normal,090,1,075,0.9040629863739014
23,075,nm-06,normal,180,1,075,0.9498289227485657
24,076,cl-01,clothing,000,1,076,0.842478334903717
25,076,cl-01,clothing,090,9,094,0.8797702789306641
26,076,cl-01,clothing,180,1,076,0.7922070026397705
27,076,cl-02,clothing,000,4,090,0.8254857659339905
28,076,cl-02,clothing,090,5,080,0.8211665153503418
29,076,cl-02,clothing,180,2,090,0.8058517575263977
33,076,nm-02,normal,000,1,076,0.9136739373207092
34,076,nm-02,normal,090,1,076,0.8806921243667603
35,076,nm-02,normal,180,6,090,0.8449020385742188
36,076,nm-03,normal,000,1,076,0.7993572950363159
37,076,nm-03,normal,090,1,076,0.742561399936676
38,076,nm-03,normal,180,6,090,0.881679356098175
39,076,nm-04,normal,000,7,090,0.8247255086898804
40,076,nm-04,normal,090,1,076,0.8627800345420837
41,076,nm-04,normal,180,1,076,0.8701866269111633
42,076,nm-05,normal,000,3,090,0.8559699654579163
43,076,nm-05,normal,090,1,076,0.8642057180404663
44,076,nm-05,normal,180,1,076,0.8577514290809631
45,076,nm-06,normal,000,8,094,0.8427242636680603
46,076,nm-06,normal,090,1,076,0.7424017190933228
47,076,nm-06,normal,180,1,076,0.778509259223938
48,077,cl-01,clothing,000,8,092,0.9344403743743896
49,077,cl-01,clothing,090,9,080,0.8748000860214233
50,077,cl-01,clothing,180,13,109,0.9594088792800903
51,077,cl-02,clothing,000,1,077,0.8973149061203003
52,077,cl-02,clothing,090,4,106,0.8887314796447754
53,077,cl-02,clothing,180,4,075,0.9111703634262085
57,077,nm-02,normal,000,1,077,0.8687173128128052
58,077,nm-02,normal,090,28,086,0.8852764368057251
59,077,nm-02,normal,180,4,118,0.8797067403793335
60,077,nm-03,normal,000,2,075,0.9465532898902893
61,077,nm-03,normal,090,2,111,0.8318778276443481
62,077,nm-03,normal,180,7,092,0.9200811386108398
63,077,nm-04,normal,000,1,077,0.8782444000244141
64,077,nm-04,normal,090,1,077,0.8754978775978088
65,077,nm-04,normal,180,1,077,0.8679848909378052
66,077,nm-05,normal,000,1,077,0.9361851811408997
67,077,nm-05,normal,090,3,124,0.8270349502563477
68,077,nm-05,normal,180,2,118,0.919869065284729
69,077,nm-06,normal,000,2,075,0.8952067494392395
70,077,nm-06,normal,090,2,092,0.8189430236816406
71,077,nm-06,normal,180,1,077,0.9632670879364014
72,078,cl-01,clothing,000,31,100,0.8331696391105652
73,078,cl-01,clothing,090,29,108,0.6851704716682434
74,078,cl-01,clothing,180,32,112,0.758063018321991
75,078,cl-02,clothing,000,45,100,0.815142035484314
76,078,cl-02,clothing,090,21,108,0.6418083906173706
77,078,cl-02,clothing,180,21,101,0.7326492071151733
81,078,nm-02,normal,000,1,078,0.8750607371330261
82,078,nm-02,normal,090,20,085,0.8112197518348694
83,078,nm-02,normal,180,1,078,0.8881470561027527
84,078,nm-03,normal,000,1,078,0.9699481725692749
85,078,nm-03,normal,090,1,078,0.8363659381866455
