probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,001,cl-01-od,clothing,000,1,001,0.9261323809623718
1,001,cl-01-od,clothing,090,1,001,0.6398037075996399
2,001,cl-01-od,clothing,180,1,001,0.7408100962638855
3,001,cl-02-od,clothing,000,1,001,0.922356128692627
4,001,cl-02-od,clothing,090,1,001,0.8917469382286072
5,001,cl-02-od,clothing,180,1,001,0.9326290488243103
9,001,nm-02-od,normal,000,1,001,0.8804121017456055
10,001,nm-02-od,normal,090,1,001,0.7231607437133789
11,001,nm-02-od,normal,180,1,001,0.7491714358329773
12,001,nm-03-od,normal,000,1,001,0.9341527223587036
13,001,nm-03-od,normal,090,1,001,0.615302324295044
14,001,nm-03-od,normal,180,1,001,0.7424168586730957
15,002,cl-01-od,clothing,000,1,002,0.9309912919998169
16,002,cl-01-od,clothing,090,1,002,0.6235418319702148
17,002,cl-01-od,clothing,180,2,004,0.8278672695159912
18,002,cl-02-od,clothing,000,1,002,0.9363805651664734
19,002,cl-02-od,clothing,090,3,001,0.591274619102478
20,002,cl-02-od,clothing,180,1,002,0.936906099319458
24,002,nm-02-od,normal,000,1,002,0.9457550048828125
25,002,nm-02-od,normal,090,2,003,0.6378573179244995
26,002,nm-03-od,normal,000,1,002,0.9261763691902161
27,002,nm-03-od,normal,090,1,002,0.9360091090202332
28,002,nm-03-od,normal,180,1,002,0.9414575695991516
29,003,cl-01-od,clothing,000,1,003,0.9636815190315247
30,003,cl-01-od,clothing,090,1,003,0.91977858543396
31,003,cl-01-od,clothing,180,1,003,0.9677202701568604
32,003,cl-02-od,clothing,000,1,003,0.9540134072303772
33,003,cl-02-od,clothing,090,1,003,0.7852999567985535
34,003,cl-02-od,clothing,180,1,003,0.9280633926391602
38,003,nm-02-od,normal,000,1,003,0.9641283750534058
39,003,nm-02-od,normal,090,1,003,0.9566233158111572
40,003,nm-02-od,normal,180,1,003,0.9312988519668579
41,003,nm-03-od,normal,000,1,003,0.8591806292533875
42,003,nm-03-od,normal,090,1,003,0.9728235006332397
43,003,nm-03-od,normal,180,1,003,0.9741842150688171
44,004,cl-01-od,clothing,000,2,001,0.8251346945762634
45,004,cl-01-od,clothing,090,2,001,0.7394594550132751
46,004,cl-01-od,clothing,180,1,004,0.6395071744918823
47,004,cl-02-od,clothing,000,1,004,0.8693587183952332
48,004,cl-02-od,clothing,090,2,001,0.6432206630706787
49,004,cl-02-od,clothing,180,1,004,0.6691024899482727
53,004,nm-02-od,normal,000,1,004,0.545607328414917
54,004,nm-02-od,normal,180,1,004,0.7573981881141663
55,004,nm-03-od,normal,000,1,004,0.542614758014679
56,004,nm-03-od,normal,090,4,003,0.7014907598495483
57,004,nm-03-od,normal,180,1,004,0.731990396976471
