probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,075,cl-01,clothing,000,10,114,0.8107579350471497
1,075,cl-01,clothing,090,1,075,0.8504869937896729
2,075,cl-01,clothing,180,11,114,0.8127294182777405
3,075,cl-02,clothing,000,3,114,0.8156728148460388
4,075,cl-02,clothing,090,3,120,0.8717368841171265
5,075,cl-02,clothing,180,8,114,0.8805995583534241
9,075,nm-02,normal,000,1,075,0.9578622579574585
10,075,nm-02,normal,090,1,075,0.9164212346076965
11,075,nm-02,normal,180,1,075,0.9677634239196777
12,075,nm-03,normal,000,1,075,0.9131807088851929
13,075,nm-03,normal,090,1,075,0.8314981460571289
14,075,nm-03,normal,180,1,075,0.9633601903915405
15,075,nm-04,normal,000,1,075,0.8548073172569275
16,075,nm-04,normal,090,1,075,0.9567840099334717
17,075,nm-04,normal,180,1,075,0.9257844686508179
18,075,nm-05,normal,000,1,075,0.9313424825668335
19,075,nm-05,normal,090,1,075,0.8646306991577148
20,075,nm-05,normal,180,1,075,0.9320641756057739
21,075,nm-06,normal,000,3,120,0.7634735107421875
22,075,nm-06,normal,090,1,075,0.8015271425247192
23,075,nm-06,normal,180,1,075,0.9379263520240784
24,076,cl-01,clothing,000,1,076,0.5209999084472656
25,076,cl-01,clothing,090,4,093,0.8879823088645935
26,076,cl-01,clothing,180,1,076,0.5569373369216919
27,076,cl-02,clothing,000,13,090,0.7334219217300415
28,076,cl-02,clothing,090,4,123,0.8127204179763794
29,076,cl-02,clothing,180,2,090,0.5235345959663391
33,076,nm-02,normal,000,2,116,0.8720880150794983
34,076,nm-02,normal,090,1,076,0.9575951099395752
35,076,nm-02,normal,180,1,076,0.9380255937576294
36,076,nm-03,normal,000,2,116,0.7982640862464905
37,076,nm-03,normal,090,1,076,0.8051785230636597
38,076,nm-03,normal,180,1,076,0.933670699596405
39,076,nm-04,normal,000,2,116,0.8591716289520264
40,076,nm-04,normal,090,1,076,0.8545882701873779
41,076,nm-04,normal,180,3,116,0.9288539886474609
42,076,nm-05,normal,000,3,116,0.7729341387748718
43,076,nm-05,normal,090,1,076,0.866406261920929
44,076,nm-05,normal,180,2,116,0.7856028079986572
45,076,nm-06,normal,000,2,116,0.7879260182380676
46,076,nm-06,normal,090,1,076,0.8258836269378662
47,076,nm-06,normal,180,7,116,0.7828165888786316
48,077,cl-01,clothing,000,2,106,0.9044114947319031
49,077,cl-01,clothing,090,6,106,0.8085694313049316
50,077,cl-01,clothing,180,5,089,0.8284129500389099
51,077,cl-02,clothing,000,3,075,0.7372864484786987
52,077,cl-02,clothing,090,3,106,0.8835198879241943
53,077,cl-02,clothing,180,6,089,0.704115629196167
57,077,nm-02,normal,000,1,077,0.923237681388855
58,077,nm-02,normal,090,4,081,0.8751028180122375
59,077,nm-02,normal,180,1,077,0.9172622561454773
60,077,nm-03,normal,000,1,077,0.9485536813735962
61,077,nm-03,normal,090,3,086,0.8571924567222595
62,077,nm-03,normal,180,1,077,0.9636250734329224
63,077,nm-04,normal,000,1,077,0.9880424737930298
64,077,nm-04,normal,090,5,081,0.8687505722045898
65,077,nm-04,normal,180,1,077,0.9267881512641907
66,077,nm-05,normal,000,1,077,0.9509416222572327
67,077,nm-05,normal,090,5,111,0.9373078942298889
68,077,nm-05,normal,180,1,077,0.9152755737304688
69,077,nm-06,normal,000,1,077,0.8855283856391907
70,077,nm-06,normal,090,13,120,0.923926591873169
71,077,nm-06,normal,180,3,081,0.8796506524085999
72,078,cl-01,clothing,000,11,094,0.8031979203224182
73,078,cl-01,clothing,090,20,083,0.7939456105232239
74,078,cl-01,clothing,180,15,107,0.717879056930542
75,078,cl-02,clothing,000,15,094,0.8561097383499146
76,078,cl-02,clothing,090,30,104,0.8113105297088623
77,078,cl-02,clothing,180,16,107,0.734190046787262
81,078,nm-02,normal,000,3,085,0.9022493362426758
82,078,nm-02,normal,090,1,078,0.9390701651573181
83,078,nm-02,normal,180,1,078,0.9104334115982056
84,078,nm-03,normal,000,3,085,0.7391408085823059
85,078,nm-03,normal,090,2,088,0.9348330497741699
86,078,nm-03,normal,180,1,078,0.8887518048286438
87,078,nm-04,normal,000,3,085,0.8891761302947998
88,078,nm-04,normal,090,2,088,0.8058326244354248
89,078,nm-04,normal,180,1,078,0.9631679654121399
90,078,nm-05,normal,000,2,085,0.9267222285270691
