probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,001,cl-01-od,clothing,000,2,004,0.9919590950012207
1,001,cl-01-od,clothing,090,1,001,0.9933373332023621
2,001,cl-01-od,clothing,180,1,001,0.993438720703125
3,001,cl-02-od,clothing,000,3,004,0.9918118715286255
4,001,cl-02-od,clothing,090,1,001,0.9725948572158813
5,001,cl-02-od,clothing,180,2,004,0.9945758581161499
9,001,nm-02-od,normal,000,1,001,0.9981568455696106
10,001,nm-02-od,normal,090,1,001,0.9786221385002136
11,001,nm-02-od,normal,180,1,001,0.9975807070732117
12,001,nm-03-od,normal,000,1,001,0.9991735219955444
13,001,nm-03-od,normal,090,1,001,0.9979809522628784
14,001,nm-03-od,normal,180,1,001,0.9981897473335266
15,002,cl-01-od,clothing,000,1,002,0.9931377172470093
16,002,cl-01-od,clothing,090,1,002,0.9886422753334045
17,002,cl-01-od,clothing,180,1,002,0.9964743852615356
18,002,cl-02-od,clothing,000,2,001,0.9920159578323364
19,002,cl-02-od,clothing,090,1,002,0.983384370803833
20,002,cl-02-od,clothing,180,1,002,0.9977752566337585
24,002,nm-02-od,normal,000,1,002,0.9964531064033508
25,002,nm-02-od,normal,090,1,002,0.9908654689788818
26,002,nm-03-od,normal,000,1,002,0.9972785711288452
27,002,nm-03-od,normal,090,1,002,0.9724385738372803
28,002,nm-03-od,normal,180,1,002,0.9975660443305969
29,003,cl-01-od,clothing,000,1,003,0.9966021180152893
30,003,cl-01-od,clothing,090,1,003,0.9935758113861084
31,003,cl-01-od,clothing,180,1,003,0.9917798042297363
32,003,cl-02-od,clothing,000,1,003,0.9962342381477356
33,003,cl-02-od,clothing,090,1,003,0.9711412191390991
34,003,cl-02-od,clothing,180,1,003,0.9917390942573547
38,003,nm-02-od,normal,000,1,003,0.9993199110031128
39,003,nm-02-od,normal,090,1,003,0.9697264432907104
40,003,nm-02-od,normal,180,1,003,0.9980710744857788
41,003,nm-03-od,normal,000,1,003,0.9985208511352539
42,003,nm-03-od,normal,090,1,003,0.9947113990783691
43,003,nm-03-od,normal,180,1,003,0.9975689649581909
44,004,cl-01-od,clothing,000,1,004,0.996360719203949
45,004,cl-01-od,clothing,090,1,004,0.9956950545310974
46,004,cl-01-od,clothing,180,1,004,0.9961962103843689
47,004,cl-02-od,clothing,000,1,004,0.9951422214508057
48,004,cl-02-od,clothing,090,2,002,0.982606828212738
49,004,cl-02-od,clothing,180,1,004,0.9916685223579407
53,004,nm-02-od,normal,000,1,004,0.998894214630127
54,004,nm-02-od,normal,180,1,004,0.998319685459137
55,004,nm-03-od,normal,000,1,004,0.9979349374771118
56,004,nm-03-od,normal,090,1,004,0.9973902106285095
57,004,nm-03-od,normal,180,1,004,0.9981855154037476
