probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,075,cl-01,clothing,000,21,079,0.9152402877807617
1,075,cl-01,clothing,090,2,105,0.9757153987884521
2,075,cl-01,clothing,180,15,119,0.9537265300750732
3,075,cl-02,clothing,000,14,114,0.8894907236099243
4,075,cl-02,clothing,090,2,115,0.8507403135299683
5,075,cl-02,clothing,180,11,115,0.9319672584533691
9,075,nm-02,normal,000,1,075,0.9662928581237793
10,075,nm-02,normal,090,1,075,0.9450942873954773
11,075,nm-02,normal,180,2,105,0.983781099319458
12,075,nm-03,normal,000,2,115,0.9645194411277771
13,075,nm-03,normal,090,1,075,0.9670057892799377
14,075,nm-03,normal,180,3,099,0.970431923866272
15,075,nm-04,normal,000,1,075,0.9564066529273987
16,075,nm-04,normal,090,2,081,0.9710294008255005
17,075,nm-04,normal,180,1,075,0.97490394115448
18,075,nm-05,normal,000,4,105,0.9552756547927856
19,075,nm-05,normal,090,1,075,0.9784507155418396
20,075,nm-05,normal,180,1,075,0.9676206111907959
21,075,nm-06,normal,000,2,105,0.8515205979347229
22,075,nm-06,normal,090,1,075,0.9663805365562439
23,075,nm-06,normal,180,6,081,0.9208046197891235
24,076,cl-01,clothing,000,1,076,0.8900492191314697
25,076,cl-01,clothing,090,14,080,0.9474181532859802
26,076,cl-01,clothing,180,1,076,0.9306361079216003
27,076,cl-02,clothing,000,1,076,0.9316297173500061
28,076,cl-02,clothing,090,3,117,0.9119647741317749
29,076,cl-02,clothing,180,1,076,0.9073240160942078
33,076,nm-02,normal,000,1,076,0.9301851987838745
34,076,nm-02,normal,090,1,076,0.9313684105873108
35,076,nm-02,normal,180,1,076,0.9452447891235352
36,076,nm-03,normal,000,4,080,0.9557636976242065
37,076,nm-03,normal,090,7,089,0.9058705568313599
38,076,nm-03,normal,180,1,076,0.9157367944717407
39,076,nm-04,normal,000,3,080,0.9256706833839417
40,076,nm-04,normal,090,1,076,0.9595181345939636
41,076,nm-04,normal,180,1,076,0.9453968405723572
42,076,nm-05,normal,000,1,076,0.9295603036880493
43,076,nm-05,normal,090,2,117,0.9459205865859985
44,076,nm-05,normal,180,1,076,0.9681079983711243
45,076,nm-06,normal,000,1,076,0.9460158944129944
46,076,nm-06,normal,090,3,080,0.8865386843681335
47,076,nm-06,normal,180,4,095,0.910676896572113
48,077,cl-01,clothing,000,15,081,0.9783873558044434
49,077,cl-01,clothing,090,3,092,0.8193981647491455
50,077,cl-01,clothing,180,2,086,0.8980075120925903
51,077,cl-02,clothing,000,4,075,0.9629795551300049
52,077,cl-02,clothing,090,4,101,0.9081162214279175
53,077,cl-02,clothing,180,1,077,0.9508726000785828
57,077,nm-02,normal,000,1,077,0.9858946204185486
58,077,nm-02,normal,090,9,089,0.82625412940979
59,077,nm-02,normal,180,3,081,0.9527654647827148
60,077,nm-03,normal,000,2,075,0.9391757845878601
61,077,nm-03,normal,090,1,077,0.9325658082962036
62,077,nm-03,normal,180,2,105,0.9437736868858337
63,077,nm-04,normal,000,1,077,0.9826529026031494
64,077,nm-04,normal,090,4,086,0.8843704462051392
65,077,nm-04,normal,180,1,077,0.9182777404785156
66,077,nm-05,normal,000,4,105,0.9383178949356079
67,077,nm-05,normal,090,1,077,0.9256278276443481
68,077,nm-05,normal,180,4,086,0.9260088205337524
69,077,nm-06,normal,000,8,075,0.9728067517280579
70,077,nm-06,normal,090,2,124,0.9200036525726318
71,077,nm-06,normal,180,1,077,0.9286451935768127
72,078,cl-01,clothing,000,18,094,0.7675033807754517
73,078,cl-01,clothing,090,34,087,0.679939866065979
74,078,cl-01,clothing,180,29,102,0.7848972082138062
75,078,cl-02,clothing,000,18,094,0.8166458606719971
76,078,cl-02,clothing,090,42,082,0.7830991148948669
77,078,cl-02,clothing,180,34,112,0.805950403213501
81,078,nm-02,normal,000,3,099,0.9034853577613831
82,078,nm-02,normal,090,1,078,0.9473776817321777
83,078,nm-02,normal,180,7,116,0.9673870205879211
84,078,nm-03,normal,000,2,089,0.8697711825370789
85,078,nm-03,normal,090,3,091,0.8545882701873779
86,078,nm-03,normal,180,1,078,0.8609126806259155
87,078,nm-04,normal,000,7,099,0.9322955012321472
88,078,nm-04,normal,090,6,087,0.7763330340385437
89,078,nm-04,normal,180,2,098,0.9417914748191833
90,078,nm-05,normal,000,10,093,0.8988432884216309
91,078,nm-05,normal,090,1,078,0.9194449186325073
