probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,001,cl-01-od,clothing,000,2,004,0.9990225434303284
1,001,cl-01-od,clothing,090,1,001,0.9990207552909851
2,001,cl-01-od,clothing,180,3,002,0.9984650015830994
3,001,cl-02-od,clothing,000,2,004,0.9991455078125
4,001,cl-02-od,clothing,090,1,001,0.9989901185035706
5,001,cl-02-od,clothing,180,2,004,0.9994329810142517
9,001,nm-02-od,normal,000,1,001,0.9993783831596375
10,001,nm-02-od,normal,090,1,001,0.9988043308258057
11,001,nm-02-od,normal,180,1,001,0.9994712471961975
12,001,nm-03-od,normal,000,1,001,0.999553918838501
13,001,nm-03-od,normal,090,1,001,0.9994726777076721
14,001,nm-03-od,normal,180,1,001,0.9994783997535706
15,002,cl-01-od,clothing,000,1,002,0.9987615942955017
16,002,cl-01-od,clothing,090,2,004,0.9993143677711487
17,002,cl-01-od,clothing,180,1,002,0.9991240501403809
18,002,cl-02-od,clothing,000,1,002,0.9991401433944702
19,002,cl-02-od,clothing,090,2,004,0.9987335205078125
20,002,cl-02-od,clothing,180,1,002,0.9994415044784546
24,002,nm-02-od,normal,000,1,002,0.9993034601211548
25,002,nm-02-od,normal,090,1,002,0.9990260601043701
26,002,nm-03-od,normal,000,1,002,0.9991825222969055
27,002,nm-03-od,normal,090,2,004,0.998823344707489
28,002,nm-03-od,normal,180,1,002,0.9992188215255737
29,003,cl-01-od,clothing,000,1,003,0.9981070160865784
30,003,cl-01-od,clothing,090,1,003,0.9989798665046692
31,003,cl-01-od,clothing,180,1,003,0.9630651473999023
32,003,cl-02-od,clothing,000,2,004,0.9985283613204956
33,003,cl-02-od,clothing,090,1,003,0.9990907311439514
34,003,cl-02-od,clothing,180,1,003,0.9927541613578796
38,003,nm-02-od,normal,000,1,003,0.9982956647872925
39,003,nm-02-od,normal,090,1,003,0.9912230372428894
40,003,nm-02-od,normal,180,1,003,0.9971505403518677
41,003,nm-03-od,normal,000,2,004,0.9974644184112549
42,003,nm-03-od,normal,090,1,003,0.9986114501953125
43,003,nm-03-od,normal,180,1,003,0.9908374547958374
44,004,cl-01-od,clothing,000,1,004,0.999411940574646
45,004,cl-01-od,clothing,090,2,001,0.9994857311248779
46,004,cl-01-od,clothing,180,1,004,0.9992285370826721
47,004,cl-02-od,clothing,000,1,004,0.9994539022445679
48,004,cl-02-od,clothing,090,1,004,0.9987385869026184
49,004,cl-02-od,clothing,180,1,004,0.9993501901626587
53,004,nm-02-od,normal,000,1,004,0.9995952844619751
54,004,nm-02-od,normal,180,1,004,0.9996821284294128
55,004,nm-03-od,normal,000,1,004,0.9996635317802429
56,004,nm-03-od,normal,090,1,004,0.9989981055259705
57,004,nm-03-od,normal,180,1,004,0.999338686466217
