probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
3,001,cl-02-on,clothing,000,1,001,0.9981266260147095
4,001,cl-02-on,clothing,090,3,003,0.9967519044876099
5,001,cl-02-on,clothing,180,1,001,0.9965559244155884
9,002,cl-02-on,clothing,000,1,002,0.9956982731819153
10,002,cl-02-on,clothing,090,2,004,0.9956744909286499
11,002,cl-02-on,clothing,180,1,002,0.9915586709976196
15,003,cl-02-on,clothing,000,1,003,0.9778326153755188
16,003,cl-02-on,clothing,090,1,003,0.9972977042198181
17,003,cl-02-on,clothing,180,1,003,0.9976827502250671
21,004,cl-02-on,clothing,180,2,003,0.9928058981895447
25,005,cl-02-on,clothing,000,1,005,0.9906978607177734
26,005,cl-02-on,clothing,090,1,005,0.9894329905509949
27,005,cl-02-on,clothing,180,1,005,0.9904457330703735
