probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,001,cl-01-od,clothing,000,2,004,0.9833402037620544
1,001,cl-01-od,clothing,090,1,001,0.9866447448730469
2,001,cl-01-od,clothing,180,1,001,0.9905339479446411
3,001,cl-02-od,clothing,000,2,004,0.9767149090766907
4,001,cl-02-od,clothing,090,2,002,0.8305103182792664
5,001,cl-02-od,clothing,180,1,001,0.9738180041313171
9,001,nm-02-od,normal,000,1,001,0.9811813235282898
10,001,nm-02-od,normal,090,1,001,0.9216791987419128
11,001,nm-02-od,normal,180,1,001,0.9935872554779053
12,001,nm-03-od,normal,000,1,001,0.9970452785491943
13,001,nm-03-od,normal,090,1,001,0.9166316390037537
14,001,nm-03-od,normal,180,1,001,0.9958512783050537
15,002,cl-01-od,clothing,000,2,001,0.8189437985420227
16,002,cl-01-od,clothing,090,1,002,0.9619751572608948
17,002,cl-01-od,clothing,180,1,002,0.9838231801986694
18,002,cl-02-od,clothing,000,1,002,0.9105516076087952
19,002,cl-02-od,clothing,090,2,004,0.9400960803031921
20,002,cl-02-od,clothing,180,1,002,0.9147498607635498
24,002,nm-02-od,normal,000,1,002,0.9433186650276184
25,002,nm-02-od,normal,090,1,002,0.9806129932403564
26,002,nm-03-od,normal,000,1,002,0.9929447174072266
27,002,nm-03-od,normal,090,2,001,0.7388710975646973
28,002,nm-03-od,normal,180,1,002,0.9952664375305176
29,003,cl-01-od,clothing,000,1,003,0.9976481199264526
30,003,cl-01-od,clothing,090,1,003,0.9818299412727356
31,003,cl-01-od,clothing,180,1,003,0.9972932934761047
32,003,cl-02-od,clothing,000,1,003,0.9869178533554077
33,003,cl-02-od,clothing,090,1,003,0.9530736207962036
34,003,cl-02-od,clothing,180,1,003,0.9985587000846863
38,003,nm-02-od,normal,000,1,003,0.996899425983429
39,003,nm-02-od,normal,090,1,003,0.9426292181015015
40,003,nm-02-od,normal,180,1,003,0.9992924332618713
41,003,nm-03-od,normal,000,1,003,0.9986864924430847
42,003,nm-03-od,normal,090,1,003,0.9751575589179993
43,003,nm-03-od,normal,180,1,003,0.9960387349128723
44,004,cl-01-od,clothing,000,1,004,0.9780929684638977
45,004,cl-01-od,clothing,090,2,002,0.8987736701965332
46,004,cl-01-od,clothing,180,1,004,0.973903238773346
47,004,cl-02-od,clothing,000,1,004,0.993263304233551
48,004,cl-02-od,clothing,090,2,001,0.5186391472816467
49,004,cl-02-od,clothing,180,1,004,0.9831233024597168
53,004,nm-02-od,normal,000,1,004,0.9660797715187073
54,004,nm-02-od,normal,180,1,004,0.9920085072517395
55,004,nm-03-od,normal,000,1,004,0.941253125667572
56,004,nm-03-od,normal,090,1,004,0.9794501662254333
57,004,nm-03-od,normal,180,1,004,0.9914857149124146
