probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
3,001,cl-02,clothing,000,2,112,0.9596419930458069
4,001,cl-02,clothing,090,2,063,0.9395217299461365
5,001,cl-02,clothing,180,1,001,0.9707369804382324
9,002,cl-02,clothing,000,1,002,0.9874475598335266
10,002,cl-02,clothing,090,1,002,0.9866106510162354
11,002,cl-02,clothing,180,1,002,0.985980749130249
15,003,cl-02,clothing,000,25,025,0.8560745716094971
16,003,cl-02,clothing,090,4,040,0.9541430473327637
17,003,cl-02,clothing,180,43,025,0.8890467882156372
21,004,cl-02,clothing,000,4,009,0.9755245447158813
22,004,cl-02,clothing,090,2,053,0.9795280694961548
23,004,cl-02,clothing,180,3,120,0.9824625253677368
27,005,cl-02,clothing,180,1,005,0.9813777804374695
31,006,cl-02,clothing,000,2,002,0.9738117456436157
32,006,cl-02,clothing,090,1,006,0.9614657163619995
33,006,cl-02,clothing,180,1,006,0.9859137535095215
37,007,cl-02,clothing,000,1,007,0.9948736429214478
38,007,cl-02,clothing,090,1,007,0.9659544825553894
39,007,cl-02,clothing,180,1,007,0.9875357747077942
43,008,cl-02,clothing,000,1,008,0.9899789094924927
44,008,cl-02,clothing,090,1,008,0.9884501099586487
45,008,cl-02,clothing,180,1,008,0.991697371006012
49,009,cl-02,clothing,000,1,009,0.9968180656433105
50,009,cl-02,clothing,090,1,009,0.980726957321167
51,009,cl-02,clothing,180,4,050,0.9619933366775513
55,010,cl-02,clothing,000,1,010,0.9569255113601685
56,010,cl-02,clothing,090,1,010,0.9533004760742188
57,010,cl-02,clothing,180,2,063,0.9634788036346436
61,011,cl-02,clothing,000,1,011,0.9839255809783936
62,011,cl-02,clothing,090,1,011,0.9613985419273376
63,011,cl-02,clothing,180,1,011,0.9724687933921814
67,012,cl-02,clothing,000,1,012,0.9467088580131531
68,012,cl-02,clothing,090,1,012,0.9507259726524353
69,012,cl-02,clothing,180,1,012,0.9772064089775085
73,013,cl-02,clothing,000,1,013,0.9715766310691833
74,013,cl-02,clothing,090,2,068,0.9749478101730347
75,013,cl-02,clothing,180,2,124,0.9756483435630798
79,014,cl-02,clothing,000,1,014,0.9765658378601074
80,014,cl-02,clothing,090,1,014,0.918289840221405
81,014,cl-02,clothing,180,1,014,0.9564378261566162
85,015,cl-02,clothing,000,2,064,0.891687273979187
86,015,cl-02,clothing,090,1,015,0.8381405472755432
87,015,cl-02,clothing,180,1,015,0.8524022698402405
91,016,cl-02,clothing,000,1,016,0.9612528681755066
92,016,cl-02,clothing,090,1,016,0.9978616237640381
93,016,cl-02,clothing,180,1,016,0.9912148714065552
97,017,cl-02,clothing,000,1,017,0.9929003119468689
98,017,cl-02,clothing,090,6,093,0.9734545946121216
99,017,cl-02,clothing,180,1,017,0.9706495404243469
103,018,cl-02,clothing,000,1,018,0.9731475710868835
104,018,cl-02,clothing,090,1,018,0.9781888723373413
105,018,cl-02,clothing,180,1,018,0.9860908389091492
109,019,cl-02,clothing,000,5,114,0.9657599329948425
110,019,cl-02,clothing,090,14,039,0.9807980060577393
111,019,cl-02,clothing,180,2,039,0.9505016803741455
115,020,cl-02,clothing,000,1,020,0.9882810711860657
116,020,cl-02,clothing,090,1,020,0.9875863790512085
117,020,cl-02,clothing,180,1,020,0.9788490533828735
121,021,cl-02,clothing,000,2,016,0.974461019039154
122,021,cl-02,clothing,090,1,021,0.9856981039047241
123,021,cl-02,clothing,180,1,021,0.9787614345550537
127,022,cl-02,clothing,000,1,022,0.9650098085403442
128,022,cl-02,clothing,090,1,022,0.9855836629867554
129,022,cl-02,clothing,180,1,022,0.9763835072517395
133,023,cl-02,clothing,000,1,023,0.9092413783073425
134,023,cl-02,clothing,090,1,023,0.9882901906967163
135,023,cl-02,clothing,180,1,023,0.9300282001495361
139,024,cl-02,clothing,000,1,024,0.9567843079566956
140,024,cl-02,clothing,090,2,057,0.9213722944259644
141,024,cl-02,clothing,180,1,024,0.9704323410987854
145,025,cl-02,clothing,000,1,025,0.975383460521698
146,025,cl-02,clothing,090,1,025,0.918358325958252
147,025,cl-02,clothing,180,1,025,0.9638097286224365
151,026,cl-02,clothing,000,1,026,0.8450359106063843
152,026,cl-02,clothing,090,1,026,0.985188364982605
153,026,cl-02,clothing,180,1,026,0.9113643765449524
157,027,cl-02,clothing,000,14,049,0.98018878698349
158,027,cl-02,clothing,090,5,074,0.968405544757843
159,027,cl-02,clothing,180,12,049,0.9700035452842712
163,028,cl-02,clothing,000,1,028,0.9125528931617737
164,028,cl-02,clothing,090,1,028,0.9669865965843201
165,028,cl-02,clothing,180,2,118,0.9360873103141785
