probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
3,001,cl-02-on,clothing,000,1,001,0.9952686429023743
4,001,cl-02-on,clothing,090,1,001,0.9956436157226562
5,001,cl-02-on,clothing,180,1,001,0.9944278001785278
9,002,cl-02-on,clothing,000,2,005,0.9951969385147095
10,002,cl-02-on,clothing,090,3,001,0.9951876997947693
11,002,cl-02-on,clothing,180,2,004,0.994186520576477
15,003,cl-02-on,clothing,000,1,003,0.9926373362541199
16,003,cl-02-on,clothing,090,3,002,0.9954296946525574
17,003,cl-02-on,clothing,180,1,003,0.9941758513450623
21,004,cl-02-on,clothing,180,3,003,0.9918168783187866
25,005,cl-02-on,clothing,000,2,002,0.9951716065406799
26,005,cl-02-on,clothing,090,1,005,0.9955381155014038
27,005,cl-02-on,clothing,180,2,004,0.9952676296234131
