probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
0,075,cl-01,clothing,000,3,114,0.728256106376648
1,075,cl-01,clothing,090,1,075,0.9008576273918152
2,075,cl-01,clothing,180,5,114,0.8304445743560791
3,075,cl-02,clothing,000,5,114,0.8212233781814575
4,075,cl-02,clothing,090,1,075,0.8612692356109619
5,075,cl-02,clothing,180,6,114,0.7382754683494568
9,075,nm-02,normal,000,2,095,0.8845905065536499
10,075,nm-02,normal,090,1,075,0.9306963682174683
11,075,nm-02,normal,180,1,075,0.9620575904846191
12,075,nm-03,normal,000,1,075,0.9345014095306396
13,075,nm-03,normal,090,1,075,0.9063490629196167
14,075,nm-03,normal,180,1,075,0.906582236289978
15,075,nm-04,normal,000,1,075,0.9139664173126221
16,075,nm-04,normal,090,1,075,0.7568557262420654
17,075,nm-04,normal,180,2,081,0.8890560865402222
18,075,nm-05,normal,000,1,075,0.9058043360710144
19,075,nm-05,normal,090,1,075,0.9074652194976807
20,075,nm-05,normal,180,1,075,0.9036394953727722
21,075,nm-06,normal,000,1,075,0.9134194850921631
22,075,nm-06,normal,090,1,075,0.7373244762420654
23,075,nm-06,normal,180,1,075,0.8993521928787231
24,076,cl-01,clothing,000,8,084,0.8212146759033203
25,076,cl-01,clothing,090,1,076,0.8861656785011292
26,076,cl-01,clothing,180,1,076,0.8006848692893982
27,076,cl-02,clothing,000,6,084,0.9179449081420898
28,076,cl-02,clothing,090,2,123,0.8799460530281067
29,076,cl-02,clothing,180,4,080,0.8541651368141174
33,076,nm-02,normal,000,1,076,0.9637478590011597
34,076,nm-02,normal,090,1,076,0.9033157825469971
35,076,nm-02,normal,180,1,076,0.9800848364830017
36,076,nm-03,normal,000,1,076,0.9642952084541321
37,076,nm-03,normal,090,1,076,0.8527957201004028
38,076,nm-03,normal,180,1,076,0.921007513999939
39,076,nm-04,normal,000,1,076,0.9017517566680908
40,076,nm-04,normal,090,1,076,0.8831933736801147
41,076,nm-04,normal,180,1,076,0.8795518279075623
42,076,nm-05,normal,000,1,076,0.9172837138175964
43,076,nm-05,normal,090,1,076,0.9475840926170349
44,076,nm-05,normal,180,1,076,0.9442563056945801
45,076,nm-06,normal,000,1,076,0.9002999067306519
46,076,nm-06,normal,090,2,123,0.8467760682106018
47,076,nm-06,normal,180,1,076,0.9440524578094482
48,077,cl-01,clothing,000,3,106,0.9147621989250183
49,077,cl-01,clothing,090,7,109,0.7821165323257446
50,077,cl-01,clothing,180,3,075,0.834420382976532
51,077,cl-02,clothing,000,8,085,0.8314953446388245
52,077,cl-02,clothing,090,9,118,0.9030314087867737
53,077,cl-02,clothing,180,2,085,0.9003065228462219
57,077,nm-02,normal,000,1,077,0.923193097114563
58,077,nm-02,normal,090,2,105,0.946955144405365
59,077,nm-02,normal,180,1,077,0.9070011377334595
60,077,nm-03,normal,000,1,077,0.9650359749794006
61,077,nm-03,normal,090,1,077,0.930824875831604
62,077,nm-03,normal,180,1,077,0.9839584827423096
63,077,nm-04,normal,000,1,077,0.9487751722335815
64,077,nm-04,normal,090,6,111,0.8421143293380737
65,077,nm-04,normal,180,1,077,0.9578628540039062
66,077,nm-05,normal,000,1,077,0.9752194285392761
67,077,nm-05,normal,090,3,111,0.9104947447776794
68,077,nm-05,normal,180,1,077,0.9699910879135132
69,077,nm-06,normal,000,1,077,0.9208605885505676
70,077,nm-06,normal,090,5,103,0.8640413880348206
71,077,nm-06,normal,180,1,077,0.9421486854553223
72,078,cl-01,clothing,000,46,084,0.5754148960113525
73,078,cl-01,clothing,090,29,112,0.7099027633666992
74,078,cl-01,clothing,180,25,112,0.7013710737228394
75,078,cl-02,clothing,000,40,084,0.7100722789764404
76,078,cl-02,clothing,090,21,101,0.731224000453949
77,078,cl-02,clothing,180,21,112,0.7497842907905579
81,078,nm-02,normal,000,4,098,0.8191016912460327
82,078,nm-02,normal,090,1,078,0.9126089811325073
83,078,nm-02,normal,180,2,098,0.7791416645050049
84,078,nm-03,normal,000,2,085,0.9120510816574097
85,078,nm-03,normal,090,1,078,0.8772845268249512
86,078,nm-03,normal,180,1,078,0.9149039387702942
87,078,nm-04,normal,000,1,078,0.9547724723815918
88,078,nm-04,normal,090,2,088,0.8395798802375793
89,078,nm-04,normal,180,1,078,0.9334202408790588
90,078,nm-05,normal,000,3,119,0.8813358545303345
91,078,nm-05,normal,090,4,088,0.8518100380897522
92,078,nm-05,normal,180,1,078,0.9035564661026001
93,078,nm-06,normal,000,1,078,0.9518545269966125
94,078,nm-06,normal,090,4,091,0.7736651301383972
95,078,nm-06,normal,180,1,078,0.8150195479393005
96,079,cl-01,clothing,000,2,085,0.8091834187507629
97,079,cl-01,clothing,090,8,119,0.8289539813995361
98,079,cl-01,clothing,180,2,085,0.8031096458435059
99,079,cl-02,clothing,000,6,078,0.8353539109230042
100,079,cl-02,clothing,090,13,098,0.8379598259925842
101,079,cl-02,clothing,180,7,111,0.7981770634651184
105,079,nm-02,normal,000,1,079,0.8860947489738464
106,079,nm-02,normal,090,1,079,0.8335336446762085
107,079,nm-02,normal,180,1,079,0.8155683875083923
108,079,nm-03,normal,000,1,079,0.8353678584098816
109,079,nm-03,normal,090,3,116,0.8488416075706482
110,079,nm-03,normal,180,1,079,0.9429111480712891
111,079,nm-04,normal,000,2,116,0.889560878276825
112,079,nm-04,normal,090,1,079,0.9134156107902527
113,079,nm-04,normal,180,1,079,0.9166929125785828
114,079,nm-05,normal,000,1,079,0.8282094597816467
115,079,nm-05,normal,090,5,115,0.8443995714187622
116,079,nm-05,normal,180,1,079,0.9588668942451477
117,079,nm-06,normal,000,1,079,0.8714563250541687
118,079,nm-06,normal,090,2,119,0.8641786575317383
119,079,nm-06,normal,180,1,079,0.9613358378410339
120,080,cl-01,clothing,000,1,080,0.9616171717643738
121,080,cl-01,clothing,090,1,080,0.8133217692375183
122,080,cl-01,clothing,180,1,080,0.9535190463066101
123,080,cl-02,clothing,000,1,080,0.934140682220459
124,080,cl-02,clothing,090,2,124,0.7470743060112
125,080,cl-02,clothing,180,1,080,0.9533878564834595
129,080,nm-02,normal,000,1,080,0.9462348222732544
130,080,nm-02,normal,090,1,080,0.7965853810310364
131,080,nm-02,normal,180,1,080,0.9583193063735962
132,080,nm-03,normal,000,1,080,0.9713505506515503
133,080,nm-03,normal,090,1,080,0.7539258599281311
134,080,nm-03,normal,180,1,080,0.9775502681732178
135,080,nm-04,normal,000,1,080,0.8609644770622253
136,080,nm-04,normal,090,1,080,0.8255534172058105
137,080,nm-04,normal,180,1,080,0.8778952360153198
138,080,nm-05,normal,000,1,080,0.8804479837417603
139,080,nm-05,normal,090,11,118,0.7803688049316406
140,080,nm-05,normal,180,1,080,0.9263256192207336
141,080,nm-06,normal,000,1,080,0.9483583569526672
142,080,nm-06,normal,090,4,111,0.8966808319091797
143,080,nm-06,normal,180,1,080,0.936420202255249
144,081,cl-01,clothing,000,1,081,0.839379072189331
145,081,cl-01,clothing,090,1,081,0.7498853206634521
146,081,cl-01,clothing,180,1,081,0.7582896947860718
147,081,cl-02,clothing,000,2,093,0.8668643832206726
148,081,cl-02,clothing,090,9,124,0.8471649885177612
149,081,cl-02,clothing,180,1,081,0.7935547232627869
153,081,nm-02,normal,000,1,081,0.9179471135139465
154,081,nm-02,normal,090,2,075,0.8945524096488953
155,081,nm-02,normal,180,1,081,0.9680301547050476
156,081,nm-03,normal,000,1,081,0.9490388631820679
157,081,nm-03,normal,090,2,099,0.8322529792785645
158,081,nm-03,normal,180,1,081,0.867612898349762
159,081,nm-04,normal,000,1,081,0.9215856790542603
160,081,nm-04,normal,090,1,081,0.8748013377189636
161,081,nm-04,normal,180,1,081,0.9395594000816345
162,081,nm-05,normal,000,1,081,0.9428969621658325
163,081,nm-05,normal,090,1,081,0.9267721772193909
164,081,nm-05,normal,180,1,081,0.9372148513793945
165,081,nm-06,normal,000,1,081,0.9571920037269592
166,081,nm-06,normal,090,2,105,0.8903088569641113
167,081,nm-06,normal,180,2,092,0.8867753744125366
168,082,cl-01,clothing,000,6,094,0.7553457617759705
169,082,cl-01,clothing,090,2,118,0.7432082295417786
170,082,cl-01,clothing,180,3,094,0.7980308532714844
171,082,cl-02,clothing,000,6,106,0.8712897300720215
172,082,cl-02,clothing,090,7,106,0.8343960046768188
173,082,cl-02,clothing,180,1,082,0.8244458436965942
177,082,nm-02,normal,000,1,082,0.8220844864845276
178,082,nm-02,normal,090,1,082,0.848576009273529
179,082,nm-02,normal,180,1,082,0.8577478528022766
180,082,nm-03,normal,000,1,082,0.817770779132843
181,082,nm-03,normal,090,1,082,0.8614189624786377
182,082,nm-03,normal,180,1,082,0.8251851201057434
183,082,nm-04,normal,000,2,118,0.8140262365341187
184,082,nm-04,normal,090,1,082,0.8429967761039734
185,082,nm-04,normal,180,3,121,0.8427731394767761
186,082,nm-05,normal,000,1,082,0.8496720194816589
187,082,nm-05,normal,090,1,082,0.9456828236579895
188,082,nm-05,normal,180,1,082,0.8970332741737366
189,082,nm-06,normal,000,1,082,0.8027322888374329
190,082,nm-06,normal,090,1,082,0.7837947607040405
191,082,nm-06,normal,180,1,082,0.8497071862220764
192,083,cl-01,clothing,000,3,108,0.8559049367904663
193,083,cl-01,clothing,090,1,083,0.8274133205413818
194,083,cl-01,clothing,180,2,108,0.8658908009529114
195,083,cl-02,clothing,000,2,108,0.7548622488975525
196,083,cl-02,clothing,090,1,083,0.710008442401886
