probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
3,001,cl-02-on,clothing,000,1,001,0.9370578527450562
4,001,cl-02-on,clothing,090,4,005,0.877777099609375
5,001,cl-02-on,clothing,180,1,001,0.8881776928901672
9,002,cl-02-on,clothing,000,2,004,0.8592188954353333
10,002,cl-02-on,clothing,090,4,001,0.914391040802002
11,002,cl-02-on,clothing,180,1,002,0.9129036068916321
15,003,cl-02-on,clothing,000,2,001,0.9164057970046997
16,003,cl-02-on,clothing,090,1,003,0.9259564280509949
17,003,cl-02-on,clothing,180,1,003,0.9313690662384033
21,004,cl-02-on,clothing,180,3,001,0.9106394052505493
25,005,cl-02-on,clothing,000,1,005,0.9458944201469421
26,005,cl-02-on,clothing,090,1,005,0.9301882982254028
27,005,cl-02-on,clothing,180,1,005,0.9274661540985107
