probe_index,subject,condition,condition_family,view,rank,top1_subject,top1_score
3,001,cl-02-on,clothing,000,1,001,0.9963161945343018
4,001,cl-02-on,clothing,090,3,004,0.9909833073616028
5,001,cl-02-on,clothing,180,1,001,0.9954825639724731
9,002,cl-02-on,clothing,000,1,002,0.9862381219863892
10,002,cl-02-on,clothing,090,4,001,0.9951794743537903
11,002,cl-02-on,clothing,180,1,002,0.9920270442962646
15,003,cl-02-on,clothing,000,1,003,0.991349995136261
16,003,cl-02-on,clothing,090,1,003,0.9967024922370911
17,003,cl-02-on,clothing,180,1,003,0.9976608157157898
21,004,cl-02-on,clothing,180,5,003,0.9897215962409973
25,005,cl-02-on,clothing,000,1,005,0.991204559803009
26,005,cl-02-on,clothing,090,1,005,0.993438720703125
27,005,cl-02-on,clothing,180,1,005,0.9923290610313416
